SAL_avg,CellID,Date
1.70E-09,599,2012/7/21
1.93E-09,599,2012/7/22
2.12E-09,599,2012/7/23
2.33E-09,599,2012/7/24
2.75E-09,599,2012/7/25
3.18E-09,599,2012/7/26
3.07E-09,599,2012/7/27
3.10E-09,599,2012/7/28
3.30E-09,599,2012/7/29
3.58E-09,599,2012/7/30
3.69E-09,599,2012/7/31
3.84E-09,599,2012/8/1
3.97E-09,599,2012/8/2
4.50E-09,599,2012/8/3
4.92E-09,599,2012/8/4
5.54E-09,599,2012/8/5
6.19E-09,599,2012/8/6
6.85E-09,599,2012/8/7
7.29E-09,599,2012/8/8
7.55E-09,599,2012/8/9
7.58E-09,599,2012/8/10
7.81E-09,599,2012/8/11
7.69E-09,599,2012/8/12
7.51E-09,599,2012/8/13
7.20E-09,599,2012/8/14
6.78E-09,599,2012/8/15
6.21E-09,599,2012/8/16
5.91E-09,599,2012/8/17
5.90E-09,599,2012/8/18
6.12E-09,599,2012/8/19
6.33E-09,599,2012/8/20
6.84E-09,599,2012/8/21
7.94E-09,599,2012/8/22
1.02E-08,599,2012/8/23
1.19E-08,599,2012/8/24
1.44E-08,599,2012/8/25
1.60E-08,599,2012/8/26
2.09E-08,599,2012/8/27
2.43E-08,599,2012/8/28
2.10E-08,599,2012/8/29
1.33E-08,599,2012/8/30
8.74E-09,599,2012/8/31
8.20E-09,599,2012/9/1
8.63E-09,599,2012/9/2
9.36E-09,599,2012/9/3
1.02E-08,599,2012/9/4
1.10E-08,599,2012/9/5
1.31E-08,599,2012/9/6
1.59E-08,599,2012/9/7
1.70E-08,599,2012/9/8
1.64E-08,599,2012/9/9
1.57E-08,599,2012/9/10
1.49E-08,599,2012/9/11
1.36E-08,599,2012/9/12
1.22E-08,599,2012/9/13
1.05E-08,599,2012/9/14
9.61E-09,599,2012/9/15
9.54E-09,599,2012/9/16
1.04E-08,599,2012/9/17
1.13E-08,599,2012/9/18
1.26E-08,599,2012/9/19
1.41E-08,599,2012/9/20
1.71E-08,599,2012/9/21
2.19E-08,599,2012/9/22
2.19E-08,599,2012/9/23
1.83E-08,599,2012/9/24
1.51E-08,599,2012/9/25
1.25E-08,599,2012/9/26
9.81E-09,599,2012/9/27
9.04E-09,599,2012/9/28
8.95E-09,599,2012/9/29
9.00E-09,599,2012/9/30
9.27E-09,599,2012/10/1
9.53E-09,599,2012/10/2
9.79E-09,599,2012/10/3
9.97E-09,599,2012/10/4
1.02E-08,599,2012/10/5
1.04E-08,599,2012/10/6
1.04E-08,599,2012/10/7
1.02E-08,599,2012/10/8
1.00E-08,599,2012/10/9
9.82E-09,599,2012/10/10
9.58E-09,599,2012/10/11
