"CellID","H","DX","DY","LAT","LON","FSM"
3298,1.00000001335143e-10,1299.00805664062,1704.81005859375,37.7212409973145,-76.534797668457,0
3299,1.00000001335143e-10,1255.14514160156,1721.38842773438,37.7216491699219,-76.5202941894531,0
3300,1.00000001335143e-10,1217.54089355469,1737.46862792969,37.7220649719238,-76.5062561035156,0
3301,1.00000001335143e-10,1186.54516601562,1753.13122558594,37.722484588623,-76.4926147460938,0
3302,1.00000001335143e-10,1162.4951171875,1768.46203613281,37.7229118347168,-76.4792785644531,0
3303,1.00000001335143e-10,1145.71923828125,1783.55187988281,37.7233467102051,-76.466178894043,0
3304,1.00000001335143e-10,1136.54113769531,1798.49731445312,37.7237930297852,-76.4532318115234,0
3305,1.00000001335143e-10,1134.822265625,1813.39660644531,37.7242546081543,-76.4403381347656,0
3306,1.00000001335143e-10,1135.45385742188,1828.31396484375,37.7247352600098,-76.4274520874023,0
3307,1.00000001335143e-10,1135.00317382812,1843.25830078125,37.7252311706543,-76.4145584106445,0
3308,1.00000001335143e-10,1133.36828613281,1858.21533203125,37.7257423400879,-76.4016723632812,0
3309,1.00000001335143e-10,1130.50317382812,1873.16918945312,37.7262725830078,-76.3888244628906,0
3310,1.00000001335143e-10,1126.36096191406,1888.10461425781,37.7268180847168,-76.3760070800781,0
3311,1.00000001335143e-10,1120.89392089844,1903.00439453125,37.7273826599121,-76.3632507324219,0
3312,1.00000001335143e-10,1114.05383300781,1917.8515625,37.7279586791992,-76.3505630493164,0
3313,1.00000001335143e-10,1105.79162597656,1932.62768554688,37.7285537719727,-76.3379669189453,0
3314,1.00000001335143e-10,1096.05822753906,1947.31384277344,37.7291603088379,-76.3254699707031,0
3315,1.00000001335143e-10,1084.80444335938,1961.89074707031,37.7297782897949,-76.3130950927734,0
3316,2.79999995231628,1071.98107910156,1976.33776855469,37.730411529541,-76.3008575439453,1
3317,4.33765888214111,1057.53955078125,1990.63317871094,37.7310562133789,-76.2887725830078,1
3318,5,1041.43200683594,2004.75537109375,37.7317085266113,-76.2768707275391,1
